"marka","klyuch_zamorozki","gruppa","sistema","baza","fajl_tdb","sha256_tdb","metod","nabor","c15_laves_v_nabore","porog","kriterij_solidusa","pdens","pdens_zaproshen","zyorno_scheil","T_sol_K","T_liq_K","T_sol_bisekciya_K","T_sol_zamorozka_K","T_liq_zamorozka_K","vremya_s","pik_pamyati_MiB","otkaz","prichina","vne_predelov_shapki","chislo_faz_v_nabore","fazy_v_nabore","fazy_pod_solidusom","zamechaniya","job_id"
"RS320","","kartochka","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","ThermoGar","polnyj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","876.04","880.53","838.14","836.6","880.6","450.3","2162","","","нет","95","AL11CR2 AL11MN4 AL12MN AL13CR2 AL13FE4 AL18CR2MG3 AL2CU3_D AL2FE AL3MG AL3NI AL3NI2 AL3SC AL3TI_H AL3TI_L AL3ZR AL4CR AL4MN AL5FE2 AL5FE4 AL6MN AL8FEMNSI2 AL8MN5_D810 ALCR ALCR2 ALCRCU_TAU ALCRFEMNSI_A ALCUZN_T ALFEMNSI_B ALFENI_T1 ALFENI_T2 ALFESI_T1 ALFESI_T10 ALFESI_T11 ALFESI_T2 ALFESI_T3 ALFESI_T4 ALFESI_T5 ALFESI_T6 ALFESI_T7 ALFESI_T8 ALMGMN_T ALM_D019 ALTI AL_B_DP BCC_A2 BETA_AL3MG2 B_PRIME_H B_PRIME_L CBCC_A12 CL_CUMG0 CL_CUMG1 CL_FCC CL_MGX CL_SPL CR3SI CRSI2 CUB_A13 E_AL30MG23 FCCAL FCCMG FCCSI FE2SI FE5SI3 FESI FESI2_H FESI2_L GP_MAT G_AL12MG17 HCP_A3 HCP_ZN LAVES_C15 LAVES_C36 LC14_ZN2MG LIQUID MG2SI_B MG2ZN11 MG2ZN3 MG5SI6_B_DP MGALCUZN_T MGALZN_PHI MGSI_B_P MGZN MN2ZR MN3SI MN6SI MN9SI2 MNSI PI_ALFEMGSI PRE_B_DP SI2ZR SI_DIAMOND_A4 THETA_AL2CU TH_DP_GPB U1_PHASE U2_PHASE","","scheil converged=False (в приложении: «Расчёт завершён: нет»), доля твёрдого в конце 0.0","6508283c53235820"
"RS320","","kartochka","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","ThermoGar","polnyj","нет","0.0001","бисекция: доля жидкости ≤ 0.0001","50","50","0","838.14","880.53","838.14","836.6","880.6","67.6","2162","","","нет","95","AL11CR2 AL11MN4 AL12MN AL13CR2 AL13FE4 AL18CR2MG3 AL2CU3_D AL2FE AL3MG AL3NI AL3NI2 AL3SC AL3TI_H AL3TI_L AL3ZR AL4CR AL4MN AL5FE2 AL5FE4 AL6MN AL8FEMNSI2 AL8MN5_D810 ALCR ALCR2 ALCRCU_TAU ALCRFEMNSI_A ALCUZN_T ALFEMNSI_B ALFENI_T1 ALFENI_T2 ALFESI_T1 ALFESI_T10 ALFESI_T11 ALFESI_T2 ALFESI_T3 ALFESI_T4 ALFESI_T5 ALFESI_T6 ALFESI_T7 ALFESI_T8 ALMGMN_T ALM_D019 ALTI AL_B_DP BCC_A2 BETA_AL3MG2 B_PRIME_H B_PRIME_L CBCC_A12 CL_CUMG0 CL_CUMG1 CL_FCC CL_MGX CL_SPL CR3SI CRSI2 CUB_A13 E_AL30MG23 FCCAL FCCMG FCCSI FE2SI FE5SI3 FESI FESI2_H FESI2_L GP_MAT G_AL12MG17 HCP_A3 HCP_ZN LAVES_C15 LAVES_C36 LC14_ZN2MG LIQUID MG2SI_B MG2ZN11 MG2ZN3 MG5SI6_B_DP MGALCUZN_T MGALZN_PHI MGSI_B_P MGZN MN2ZR MN3SI MN6SI MN9SI2 MNSI PI_ALFEMGSI PRE_B_DP SI2ZR SI_DIAMOND_A4 THETA_AL2CU TH_DP_GPB U1_PHASE U2_PHASE","AL8FEMNSI2 ALFESI_T6 GP_MAT PI_ALFEMGSI SI_DIAMOND_A4","scheil converged=False (в приложении: «Расчёт завершён: нет»), доля твёрдого в конце 0.0","6508283c53235820"
"RS320","","kartochka","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","ThermoGar","bystryj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","838.07","880.53","838.11","836.6","880.6","292.9","2097","","","нет","45","AL11MN4 AL12MN AL13FE4 AL18CR2MG3 AL2CU3_D AL2FE AL3MG AL3NI AL3NI2 AL3SC AL3TI_H AL3TI_L AL3ZR AL4MN AL5FE2 AL6MN AL8FEMNSI2 AL8MN5_D810 ALCUZN_T ALFEMNSI_B ALFENI_T1 ALFENI_T2 ALFESI_T4 ALFESI_T6 BCC_A2 BETA_AL3MG2 CL_FCC CL_MGX E_AL30MG23 GP_MAT G_AL12MG17 HCP_A3 LAVES_C15 LAVES_C36 LC14_ZN2MG LIQUID MG2SI_B MG2ZN11 MG2ZN3 MGALCUZN_T MGALZN_PHI MGZN PI_ALFEMGSI SI_DIAMOND_A4 THETA_AL2CU","","scheil converged=False (в приложении: «Расчёт завершён: нет»), доля твёрдого в конце 0.0","2a5425276fd6c9a2"
"RS320","","kartochka","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","Lilit-skript","sloj","нет","1e-09","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","836.6","880.6","","836.6","880.6","144.7","2347","","","нет","9","LIQUID FCC_A1 HCP_A3 BCC_A2 SI_DIAMOND_A4 MG2SI_B ALFESI_T2 AL8FEMNSI2 ALFESI_T6","AL8FEMNSI2 ALFESI_T6 FCC_A1 SI_DIAMOND_A4","фаза SI2TI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза SITI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TI17AL5SI14 исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TIALSI_TAU исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | сторож движущей силы: проверено 174 из 174 пар «фаза-температура» (2 точки, 87 исключённых фаз); минимум 75 Дж/моль у GP_MAT | по требованию сторожа в набор добавлены фазы: ALFESI_T2, AL8FEMNSI2, ALFESI_T6","102347ee2176652c"
"RS320","","kartochka","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","Lilit-skript","sloj","нет","1e-06","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","836.6","880.6","","836.6","880.6","144.7","2346","","","нет","9","LIQUID FCC_A1 HCP_A3 BCC_A2 SI_DIAMOND_A4 MG2SI_B ALFESI_T2 AL8FEMNSI2 ALFESI_T6","AL8FEMNSI2 ALFESI_T6 FCC_A1 SI_DIAMOND_A4","фаза SI2TI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза SITI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TI17AL5SI14 исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TIALSI_TAU исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | сторож движущей силы: проверено 174 из 174 пар «фаза-температура» (2 точки, 87 исключённых фаз); минимум 75 Дж/моль у GP_MAT | по требованию сторожа в набор добавлены фазы: ALFESI_T2, AL8FEMNSI2, ALFESI_T6","aba5d40cacb12c3b"
"В96ц1оч","-|В96ц1оч","z26_Al","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","ThermoGar","polnyj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","781.90","898.50","781.94","780.9","898.4","380.9","2480","","","нет","107","AL11CR2 AL11MN4 AL12MN AL13CR2 AL13FE4 AL18CR2MG3 AL2CU3_D AL2FE AL3MG AL3NI2 AL3SC AL3TI_H AL3TI_L AL3ZR AL4CR AL4MN AL5FE2 AL5FE4 AL6MN AL8MN5_D810 AL9CU11_Z AL9CU11_ZP ALCR ALCR2 ALCRFEMNSI_A ALCU2 ALCUMG_V ALCUMN_T1 ALCUZN_T ALCU_EPL ALCU_EPS ALCU_ETH ALCU_ETL ALCU_G ALCU_G_P ALFEMNSI_B ALFESI_T6 ALMG4ZN11 ALMGMN_T ALMGZN_GP ALM_D019 ALTI AL_B_DP BCC_A2 BETA_AL3MG2 B_PRIME_H B_PRIME_L CBCC_A12 CL_CUMG0 CL_CUMG1 CL_FCC CL_MGX CL_SPL CR3SI CRSI2 CU15SI4_E CU19SI6_ETA CU33SI7_D CU56SI11_G CUB_A13 CUMGSI_S CUMGSI_T CUZN_G ETA_P_ALMGZN E_AL30MG23 FCCAL FCCMG FCCSI GP_MAT GP_MGZN G_AL12MG17 HCP_A3 HCP_ZN LAVES_C15 LAVES_C36 LC14_ZN2MG LC15_CU2MG LC16_CUMG2 LC16_NIMG2 LC36_NI2MG LIQUID MG2SI_B MG2ZN11 MG2ZN3 MG5SI6_B_DP MG7ZN3 MGALCUZN_T MGALZN_PHI MGSI_B_P MGZN MN2ZR MN3SI MN6SI MN9SI2 MNSI PRE_B_DP Q_ALCUMG Q_PHASE_H Q_PHASE_L SI2ZR SI_DIAMOND_A4 S_PHASE THETA_AL2CU THETA_PRIME TH_DP_GPB U1_PHASE U2_PHASE","ALCUMN_T1 GP_MAT MG2SI_B MGALCUZN_T S_PHASE","","2970ac4b0290ce99"
"В96ц1оч","-|В96ц1оч","z26_Al","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","ThermoGar","polnyj","нет","0.0001","бисекция: доля жидкости ≤ 0.0001","50","50","0","781.94","898.50","781.94","780.9","898.4","91.2","2480","","","нет","107","AL11CR2 AL11MN4 AL12MN AL13CR2 AL13FE4 AL18CR2MG3 AL2CU3_D AL2FE AL3MG AL3NI2 AL3SC AL3TI_H AL3TI_L AL3ZR AL4CR AL4MN AL5FE2 AL5FE4 AL6MN AL8MN5_D810 AL9CU11_Z AL9CU11_ZP ALCR ALCR2 ALCRFEMNSI_A ALCU2 ALCUMG_V ALCUMN_T1 ALCUZN_T ALCU_EPL ALCU_EPS ALCU_ETH ALCU_ETL ALCU_G ALCU_G_P ALFEMNSI_B ALFESI_T6 ALMG4ZN11 ALMGMN_T ALMGZN_GP ALM_D019 ALTI AL_B_DP BCC_A2 BETA_AL3MG2 B_PRIME_H B_PRIME_L CBCC_A12 CL_CUMG0 CL_CUMG1 CL_FCC CL_MGX CL_SPL CR3SI CRSI2 CU15SI4_E CU19SI6_ETA CU33SI7_D CU56SI11_G CUB_A13 CUMGSI_S CUMGSI_T CUZN_G ETA_P_ALMGZN E_AL30MG23 FCCAL FCCMG FCCSI GP_MAT GP_MGZN G_AL12MG17 HCP_A3 HCP_ZN LAVES_C15 LAVES_C36 LC14_ZN2MG LC15_CU2MG LC16_CUMG2 LC16_NIMG2 LC36_NI2MG LIQUID MG2SI_B MG2ZN11 MG2ZN3 MG5SI6_B_DP MG7ZN3 MGALCUZN_T MGALZN_PHI MGSI_B_P MGZN MN2ZR MN3SI MN6SI MN9SI2 MNSI PRE_B_DP Q_ALCUMG Q_PHASE_H Q_PHASE_L SI2ZR SI_DIAMOND_A4 S_PHASE THETA_AL2CU THETA_PRIME TH_DP_GPB U1_PHASE U2_PHASE","ALCUMN_T1 GP_MAT MG2SI_B MGALCUZN_T S_PHASE","","2970ac4b0290ce99"
"В96ц1оч","-|В96ц1оч","z26_Al","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","ThermoGar","bystryj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","781.90","898.50","781.94","780.9","898.4","289.1","2451","","","нет","59","AL11MN4 AL12MN AL13FE4 AL18CR2MG3 AL2CU3_D AL2FE AL3MG AL3NI2 AL3SC AL3TI_H AL3TI_L AL3ZR AL4MN AL5FE2 AL6MN AL8MN5_D810 AL9CU11_Z AL9CU11_ZP ALCU2 ALCUMG_V ALCUMN_T1 ALCUZN_T ALCU_EPL ALCU_EPS ALCU_ETH ALCU_ETL ALCU_G ALCU_G_P ALFEMNSI_B ALFESI_T6 ALMG4ZN11 BCC_A2 BETA_AL3MG2 CL_FCC CL_MGX ETA_P_ALMGZN E_AL30MG23 GP_MAT G_AL12MG17 HCP_A3 LAVES_C15 LAVES_C36 LC14_ZN2MG LC15_CU2MG LC16_CUMG2 LIQUID MG2SI_B MG2ZN11 MG2ZN3 MG7ZN3 MGALCUZN_T MGALZN_PHI MGZN Q_ALCUMG Q_PHASE_H Q_PHASE_L SI_DIAMOND_A4 S_PHASE THETA_AL2CU","ALCUMN_T1 GP_MAT MG2SI_B MGALCUZN_T S_PHASE","","6e3c8e4f75169f96"
"В96ц1оч","-|В96ц1оч","z26_Al","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","Lilit-skript","sloj","нет","1e-09","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","780.9","898.4","","780.9","898.4","187.5","4396","","","нет","8","LIQUID FCC_A1 HCP_A3 BCC_A2 SI_DIAMOND_A4 MG2SI_B ALCUMN_T1 S_PHASE","ALCUMN_T1 FCC_A1 MG2SI_B S_PHASE","фаза SI2TI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза SITI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TI17AL5SI14 исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TIALSI_TAU исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | сторож движущей силы: проверено 200 из 200 пар «фаза-температура» (2 точки, 100 исключённых фаз); минимум 210 Дж/моль у GP_MAT | по требованию сторожа в набор добавлены фазы: ALCUMN_T1, S_PHASE","7290f3fbb5004958"
"В96ц1оч","-|В96ц1оч","z26_Al","Al","mc_al_2037","databases/converted/al/mc_al_v2037.thermogar.tdb","f02bda0e42ff0733e4b647cbc904643a46c46fc996c57383815ade032a750c45","Lilit-skript","sloj","нет","1e-06","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","780.9","898.4","","780.9","898.4","186.6","4397","","","нет","8","LIQUID FCC_A1 HCP_A3 BCC_A2 SI_DIAMOND_A4 MG2SI_B ALCUMN_T1 S_PHASE","ALCUMN_T1 FCC_A1 MG2SI_B S_PHASE","фаза SI2TI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза SITI исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TI17AL5SI14 исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | фаза TIALSI_TAU исключена из расчёта: Семейство Ti-Si базы v2037, исключено целиком и ОКОНЧАТЕЛЬНО — решение владельца 04. | сторож движущей силы: проверено 200 из 200 пар «фаза-температура» (2 точки, 100 исключённых фаз); минимум 210 Дж/моль у GP_MAT | по требованию сторожа в набор добавлены фазы: ALCUMN_T1, S_PHASE","97c78e1a18a75b6f"
